"Kod";"Nazwa";"drogi gminne i powiatowe o twardej nawierzchni;na 100 km2;2020;[km]";"drogi gminne i powiatowe o twardej nawierzchni;na 10 tys. ludności;2020;[km]";"drogi gminne i powiatowe o gruntowej nawierzchni;na 100 km2;2020;[km]";"drogi gminne i powiatowe o gruntowej nawierzchni;na 10 tys. ludności;2020;[km]";
2611000;"Powiat starachowicki";89,6;53,0;13,0;7,7;
2612000;"Powiat staszowski";149,3;193,8;39,5;51,3;
2613000;"Powiat włoszczowski";73,1;148,4;28,1;56,9;
2661000;"Powiat m.Kielce";257,1;14,6;58,2;3,3;
2800000;"WARMIŃSKO-MAZURSKIE";45,8;78,2;32,7;55,8;
2801000;"Powiat bartoszycki";40,6;93,8;40,1;92,8;
2802000;"Powiat braniewski";35,8;105,5;21,4;63,1;
2803000;"Powiat działdowski";58,4;86,0;42,7;62,8;
2804000;"Powiat elbląski";64,0;159,0;16,5;41,0;
2805000;"Powiat ełcki";47,1;57,4;22,5;27,4;
2806000;"Powiat giżycki";35,6;71,0;23,7;47,2;
2807000;"Powiat iławski";61,0;91,3;47,2;70,5;
2808000;"Powiat kętrzyński";42,8;84,1;34,4;67,6;
2809000;"Powiat lidzbarski";37,6;85,2;39,9;90,4;
2810000;"Powiat mrągowski";35,0;75,5;38,6;83,2;
2811000;"Powiat nidzicki";54,0;159,0;20,7;60,8;
2812000;"Powiat nowomiejski";87,1;138,3;37,2;59,1;
2813000;"Powiat olecki";44,2;113,7;72,0;185,1;
2814000;"Powiat olsztyński";38,2;84,9;30,9;68,9;
2815000;"Powiat ostródzki";47,1;80,3;35,8;61,0;
2816000;"Powiat piski";31,8;100,9;11,2;35,6;
2817000;"Powiat szczycieński";38,2;107,0;32,9;92,0;
2818000;"Powiat gołdapski";30,0;87,5;45,6;132,8;
2819000;"Powiat węgorzewski";39,4;121,8;35,1;108,4;
2861000;"Powiat m.Elbląg";223,9;15,1;17,3;1,2;
2862000;"Powiat m.Olsztyn";265,6;13,7;91,1;4,7;
3000000;"WIELKOPOLSKIE";87,9;75,0;36,8;31,4;
3001000;"Powiat chodzieski";71,6;104,8;34,6;50,7;
3002000;"Powiat czarnkowsko-trzcianecki";32,0;66,8;20,8;43,4;
3003000;"Powiat gnieźnieński";107,5;93,0;36,0;31,1;
3004000;"Powiat gostyński";110,2;117,9;22,3;23,9;
3005000;"Powiat grodziski";74,0;91,5;51,3;63,4;
3006000;"Powiat jarociński";118,8;97,7;12,7;10,4;
3007000;"Powiat kaliski";114,1;159,6;42,4;59,4;
3008000;"Powiat kępiński";96,8;104,6;46,4;50,1;
3009000;"Powiat kolski";114,9;134,9;31,2;36,6;
3010000;"Powiat koniński";133,6;162,3;28,7;34,8;
3011000;"Powiat kościański";85,2;78,1;29,6;27,1;
3012000;"Powiat krotoszyński";108,4;100,5;52,5;48,6;
3013000;"Powiat leszczyński";66,8;93,0;31,8;44,2;
3014000;"Powiat międzychodzki";36,6;73,6;30,7;61,7;
3015000;"Powiat nowotomyski";51,2;68,7;79,5;106,6;
3016000;"Powiat obornicki";65,8;78,2;30,0;35,6;
3017000;"Powiat ostrowski";105,7;76,0;34,6;24,9;
3018000;"Powiat ostrzeszowski";102,0;142,6;34,7;48,5;
3019000;"Powiat pilski";62,8;58,8;40,0;37,5;
3020000;"Powiat pleszewski";107,9;122,6;50,6;57,5;
3021000;"Powiat poznański";97,2;45,4;62,3;29,1;
3022000;"Powiat rawicki";94,3;86,7;28,4;26,1;
3023000;"Powiat słupecki";101,3;144,0;25,3;36,0;
3024000;"Powiat szamotulski";69,6;84,9;37,9;46,3;
3025000;"Powiat średzki";93,4;98,5;39,2;41,4;
3026000;"Powiat śremski";67,1;62,7;30,2;28,2;
3027000;"Powiat turecki";85,9;95,5;40,9;45,5;
3028000;"Powiat wągrowiecki";79,9;118,5;35,1;52,1;
3029000;"Powiat wolsztyński";54,2;64,2;34,2;40,5;
3030000;"Powiat wrzesiński";102,9;92,7;30,2;27,3;
3031000;"Powiat złotowski";41,5;99,7;18,1;43,5;
3061000;"Powiat m.Kalisz";309,3;21,7;104,9;7,3;
3062000;"Powiat m.Konin";215,8;24,5;7,8;0,9;
3063000;"Powiat m.Leszno";459,5;23,3;161,3;8,2;
3064000;"Powiat m.Poznań";329,5;16,2;49,3;2,4;
3200000;"ZACHODNIOPOMORSKIE";48,8;66,1;24,3;32,9;
3201000;"Powiat białogardzki";47,8;85,4;23,1;41,3;
3202000;"Powiat choszczeński";42,0;116,2;52,2;144,6;
3203000;"Powiat drawski";29,5;92,0;9,3;29,0;
3204000;"Powiat goleniowski";45,2;88,8;10,6;20,9;
3205000;"Powiat gryficki";51,6;88,0;28,5;48,7;
3206000;"Powiat gryfiński";39,4;90,6;24,1;55,5;
3207000;"Powiat kamieński";38,6;83,3;16,8;36,3;
3208000;"Powiat kołobrzeski";92,9;84,9;85,8;78,4;
3209000;"Powiat koszaliński";43,9;109,2;10,9;27,1;
3210000;"Powiat myśliborski";54,9;99,3;48,7;88,1;
3211000;"Powiat policki";59,6;48,6;10,9;8,8;
3212000;"Powiat pyrzycki";53,5;99,1;20,7;38,3;
3213000;"Powiat sławieński";82,1;153,6;15,2;28,4;
3214000;"Powiat stargardzki";47,2;59,7;12,2;15,4;
3215000;"Powiat szczecinecki";40,3;92,0;13,2;30,2;
3216000;"Powiat świdwiński";42,9;101,1;30,6;72,1;
3217000;"Powiat wałecki";24,9;66,8;40,0;107,3;
3218000;"Powiat łobeski";39,1;114,1;24,6;71,9;
3261000;"Powiat m.Koszalin";173,7;16,1;29,8;2,8;
3262000;"Powiat m.Szczecin";224,0;16,9;17,7;1,3;
3263000;"Powiat m.Świnoujście";50,1;24,7;0,6;0,3;
